Sentiment,Label
gabos yan masiram lalo mainit kape arog kayan kakanon mi kadto kan,positive
saradit kmi dahil dakul tanim kyan parents mi ngonyan mau binabakal,neutral
mi nlang yan kmi nakakanamit kayan ooo,neutral
wow umuwe kami asawa yan masarap kain bicol,positive
masiramon yn may dokdokan n mantikang orig n may lada,positive
dama ngani arin dyan masiramon gabos lalo egwa ning kinudkod n,positive
niyog grabi 9o,neutral
siram san ayu kinudkod murang niyog,positive
eu tlga arog ngani yan gwa may okasyon iluluwas pagtapos taho,positive
tulos kaibahan harong hugak maghugas tinago,positive
talaga haha lupit talaga panu gabos gawain yan nagawa nalang,positive
itago c plato plastic dae mapapasa pwde iapon tamad kasi,positive
tugang iba,neutral
mao mayun p kmi sade tinago simple remembrance fr my parents at aming,positive
family pg gagamit me kun fiesta at resto nmn b4,positive
eyung gayu nagirumduman lolo an sabi sami pagnakapasa nin arug kayan,neutral
gayung plato ikwentas leog kn nkapasa mn takot mahugas t,neutral
baka makwintasan,neutral
loremot hahaha piglalanganan nanggad,positive
kadaklan aki ngunian bagulbulon maray dae dadangog magurang,negative
bagulbulon mn ang suspension ano mn skwelan n studyante dae n,negative
magsuspend n yan,negative
bagulbulon mg hero hero ay,negative
sarah j rugeria tamad tamad hil,negative
iyo baga pig tatago iyan sagkod ngonian arog kayan mgs plato parehong,neutral
pareho nanggad kayan kasi mahal iyan plato at mangko iyan maid in china,neutral
yapili so ikan prutas masilam ang kaon yan plato yan ang,positive
gamit,neutral
gannyan plato namin bicol nun kabataan namin,neutral
lyo baga so magayon ponda buda so magayon kumot tigtatago,positive
bisitakita ang pig gagamit so luma makanos marhay,negative
so bisita especial,positive
umulmong sana daw sige sana an kakabalawbagaw baga pigsilihan an,negative
lus bt,negative
balawbagaw k nmn jn paguna mn ing sisay kang magayon,negative
dai sana minatukaw tukawan iuragan balagaw bagaw,negative
balawbagaw ang aki dapangon taka,negative
dakulaon ngani c ngudoy kan aki lalake ciguro nkagat yn nung ligwan pati so,negative
mata kan saro sarado,negative
grabing kulog nakagat kan ligwan sagkod kalinturahon kulog,negative
maugmahon maski nkagat,neutral
kadakol kaan digde samo kang sarong simana koa kami kang pulot grabi,neutral
dalagan maitomon ang hahapag samoya,neutral
mapapa unlirice manay arog kaan ang isira,positive
batbat allan iyo baga lalo kun maharang harang,positive
may nakagirumdom ngaya imo tapos mataram numero halimbawa no 8 ngaya,neutral
tapos mabilang pampira alphabet iyo daa eto an nakagirumdom imo,neutral
may nakarumdom saimo,neutral
harab harabon pano,neutral
ay pasluon luhay luhaya daw ang pagkakan,negative
ginik apod kaan samo bicol ginik my kaebang baston n duwa,neutral
enot sana maogma dating dulo nabali ang sanga kapos kapalaran,positive
humanap ng iba,neutral
yan ang epikto mabilis unlad ng sihensiyag,neutral
bayai sana enjoy tawa now iyak later ooo,positive
biyo pigakilig mn c nonoy oi,positive
angguton mama kakan kaini maation ang badu uli,negative
iyo tabi kabayan,positive
dae nongka malilingawan ang tukawan naging parte kan pangarap nyato,positive
masiramon yan haloy pati magutom iyan an pinapamahawan,positive
sarrrraaapp nman nyan s zf ooso,positive
oy ang siram naman nyaan,positive
bungkaras latok an kamote nindo bata masiramon iyan kahamis kan,positive
kamote,positive
siram sana nin pamahaw yan,positive
mis ang buhay kaito mula magkaisip sarap balikan pagmata ang parong,positive
kang kamoteng sinapna kapeng puro ah wow sarap balikan ang nakaraan,positive
lyo baga totoo yan,positive
arog kayan kaidtong naka aging panahon tugang arog kayan,positive
ngunyan nami miss ang arog kayan buhay lalo tararukan buda aranihan,positive
alas 5 nagbangun,positive
nata ogto n dyan ugto n plan namarata ang manok dyan ngani,neutral
madiklom naiinot magtukturaok ang manok,neutral
in rinconada area una uuran diri palan,neutral
huna magayon makanos palan,negative
nalingawan palan may barayle kan sabado,neutral
ay tama noy iyo iyan barayli kaidto,positive
pirmi dawa harayuon pig dumanan mi mkabayli sana dara mi butong may mitsa,positive
ngani ang muse kaigto may duwang tagadara kan petromac,positive
ay maogma talaga lalo pantomena ang togtog tango salsa ay maogmahon ang,positive
lyo ang naabotan pitromax ang ilaw ang gamit mi tugtug ito radio puno long,positive
playing plaka igwa ning snakan matanga,positive
an apod samuya kaiyan ay pwedeng bungkukan bonor san fernando duwang klase,neutral
baga yan may puti maseramon pangberdura pata tapos idtong nagrorosa,positive
rosa an kulay medyo matagason maseramon lubakon may kinudkod,positive
arog kaiyan ang tig gibo mi kaito pakatapos ani,positive
ik apod samo kaan tido gabos yn inagihan q sanlagon tag uran tapos,positive
kami arog kayan an gibo kaidto mau thresher,neutral
batang 70s dnas n danas yan,neutral
kan dae uso ang treasser biyofig ninipis ang dapan kanpag ginik ning paroy,neutral
siram sana kan nilubak batag nahihidaw,positive
klasi kan natung katnga rinconada balitaka kinsol morado asen iba,neutral
masiramon ginulay palosag yun sariwang at yun bilad saldang may,positive
kaibahan libas at kunting karni asen lada ginataan nagmamantika pagka ubas,positive
masiramon an duma makusog lawas halawig an gutom lalo,positive
eeskwela makosog lawas dy,positive
kasiram san naromduman barang nong elementary sana miapit sana puno,positive
miss ang bicol,positive
yes agi agi kng panahon haharong harong my tiretindahan 4jnakaka,positive
miss ngonian puro celpon ang aki abang dudusnong ng maray,negative
kami kaito kan aki palibhasa mayokaming ina matua mi ng titinda may,negative
makakan kami walat harong pg ng uuran uran pamayawas manga katmon iyan,neutral
ginogono mi pg mauran madalion mghinog bayawas,neutral
kami sulong sagilid may dakulaon balingang nasakat an pinsan taga purot,neutral
tubig hulog nya bunga mayo ngoyan pinotol pig harongan kan,neutral
pinsan,neutral
siram kayan dawa perang aldaw panira yan,neutral
julie sannicolas emocling iyo,positive
lu totoo iyan alas tres p sana mata n mgsapna k balunon mi punta s,positive
yan ang masisipag tao,positive
nkamulatan ang kapeng bagas tinutong n mama w,neutral
belle villarba bana siram kan kapeng bagas tas igwa kpang kamote kamoteng kahoy siram sana,positive
iyo tabi apod mi dayan guinobatan anok or gabi san fernando tinatalupan yan,neutral
binibiyak at kakayudin yong gitna,neutral
timplahan ng asukal at ibabalik pinagkayudan at lulutuin gata ng niyog,neutral
wow masarap yang kaluko gumagawa nyan dati meryenda,positive
masiram yan kamote sinapna pinalaman ning bukayo laog kan buwang sinapna kamo apod kaa namo baw,positive
masiram an balisongsong malipot an puro maski bagong luto,positive
pareho gusto ang iyan masiramon pamahawan,positive
baligang samuya kaan bikol masiram luguon asin pangasinan lumboy,positive
igwa kmi kyan dati palibhasa dai pgkaisi kya pinabayan sana,positive
iyo uud iraya tapos aanod pailawod hahaha,positive
malasang pinoy iyo gayod inaragawan san gurami,positive
malasang pinoy eyo madali mabalnaw at deretso rigos ulit hapon lang,positive
siram matamis cguro yn tas an tolang labunan masapogon,positive
wow sarap ng langka,positive
masiram kan obiang ginatan bilibilo,positive
masiram yan pagluto niyog tapos sopsopon mtugas so arikorong tanga,positive
ginataang kalabasa may tabagwang masiramon nawawara iyan ngonian,positive
nagagadan kan molloscisidepangadan kuhol paroy,negative
dawa may parong ang dinilan tg gisa masiram lalo kamatis,positive
saen kaan mkabakal daraga albay,neutral
nagbakal gibo paracali ang hanap may stock akong pirmi maski yaon,positive
igdi manila gutaan may iba at kamatis siram sana,positive
siram kayan katawan may sili pirtoon igaan ng kalamansi,positive
kaitong aki aq nabakal mma kayan orange juice aki aq kaito dae aq tatao,neutral
basa paano ito timpahon ang aram q basta sarong baso ang nilaag q 3 kami,neutral
turogang 3 baso ang lalaagan q uli mma bakin dw madali ng,neutral
maubos ito palan binabantoan palan ng tubig palan subrang hamis,neutral
borogtian ang pagkatapos iyan karawa mansana,neutral
an ilawan barailihan petromax asin coleman radiophono sana pwerte an irikid,neutral
ikid,neutral
magayon kasuotan noong kaysa ngayon,positive
lu ng gad inabut nyan grabi palapa langkuy so ilaw mi halabaon baga mka abut,positive
ing baylhan harayu kai minsan ang baylihan,positive
rumdom kaito aki sarong violin sarong gitara kun minsan may banjo,neutral
paspas an baraylihan aga iyan masarong oras tugtug masarong oras,neutral
diskanso kan musikero wara kaitong radio pono didi samo coleman an,neutral
ilaw bayad musiko 500 pisos want 2 sawa,neutral
ai sobra giromdom ginatan bungkokan paka tapos kan baraylihan nagom,neutral
sana barani batag tig luwag dai kutsara kinamlo baga anong sosyal susyal gutok,positive
maturulay basog,positive
70 s pg ng bday aq radio phono lang ang gamit mahiwas ang natad mi magkaibong,neutral
giliid petromax ang ilaw pg 12 midnyt my meryenda kmi pal6psi malagkit luto,positive
gata my asin masaya kmi padagos lang ang baraylehan hanggang tumutugtug,positive
ang radyo phono 2 beses palit ng batery,neutral
memories masarap balik balikan,positive
u inabutan kopa yn baraylihan ilaw ay coleman maogmahon tiga,positive
kadakol kuta kme kaiyan bow1kya ing pisting bagyo kaidto nakaparasa lugod,negative
pungot ngunyan dae moko kaulayon,negative
kadakul nakuang bayawas 4 pungot,neutral
napupungot tlaga kdakul nman labahan,negative
sarong pungot ibos,neutral
baligang masiram lilogo bibotangan asin bcol kadakol san,positive
namit yan lods,positive
eupo my favorite baligang guguon s asin siram,positive
maziram yan gugu guun asin or azucar maglikay ing bado dugta iyan,positive
bako lang libak teg chismes,negative
digde samuya dawa dae mkagat dila madadangog tlaga niraraot,negative
kataraid harong cbi sadiri ano dw dae tamaan nin kidlat,negative
kabubuwaan sabihun an kaharaban pati dila sadiri gusto lapangun,negative
an kaugmahan probinsiya kaidto maugma dawa petromax sound system,positive
turn table maugma ang baraylihan hangang maaga ang tapos,positive
adal pagbayle ilaw petromax togtog guitara ska violen arog kaan,positive
sterio pono radyo pono mayplaka long playing grabe maogmahon kaito,positive
lyo naabutan qu may imbitar nin baylehan so tya qu an pig inbitaran habo,positive
mayong maginibo kpag may gatong mkipag midbidan so sultero sabi nawalat,positive
harong sp pangaran,positive
samo apod kan binanban balisongsong masiramon pwd kamoting kahoy pwd,positive
bagas pinagiling may pulutan bagas siramon an lalo mauran uran ang,positive
marasa pang nguraspak an,negative
an nguraspak matinde bagman sana missile,negative
rapak kitun nguraspak,negative
an nguraspak garu sagmawan,negative
garo baga pangbomba kan iniduro an nguraspak,negative
nagribok kiton nguraspak,negative
kun dae nasabutan kaniguan an kapatalan,negative
may naaraman k pang pagpurupukpok gamit ang palapa kng niyog ay kapatal san,negative
nagbakal ngani nasabihan png patal lugod,negative
ws ay magayonon ang etiketa kaso so nakasurat gari wara etiketa,negative
pwede siguro may ati liwuyan lang tapos kuskuson kan kamot,negative
maray rahay ang instruction may lamuda hurihan,negative
ohh tiga gabos2 iyan inagehan ming gayo ani gamit gata sna tpos maginik,neutral
pagdae ngiinit maholas kn paroy bgo babayohon hohoooo maoogmahon sna,positive
kmi mgtorogang habang nggagawa bhdsh sh,positive
gibo mi yan kan aki kami,neutral
ano yang palagadan ngunian lang iyan dangog bikol taramon,neutral
sorry dae iyan aram bikol,neutral
erlie oj palagadan bagas may kolor arog kaini,neutral
kaitong aki igwa din kaming lubang nalubak din kami ng galyang nilalag an ng,neutral
mantikilya mani siram,positive
tuod kmi dgdi bulod dai alas 4 mata,neutral
tatay noong aqui kmi alas 4 ing amay paduman sauma,neutral
agko kami itik kutkutak manok gisong kami paluwason so itik paiyan,neutral
uma baka maunaan ibang paraiitik tapos mig tarok lote pagal ay mig,neutral
eskwela alas 8 ati so koko brason naman kumo pobre sangal umok,neutral
pangyayari tius,neutral
maugmahon kaito ang buhay kan kaakian maparigos salog dagos madakop buyod,positive
makuang tulya tabaguang sagkud pako masiram lutuon peo ngunya hidap ng,positive
ibuwelta arog itong buhay ning aki,neutral
lyo naabutan yon lalo harani kami salog hehe ngkarigos karabaw kaiba kami,positive
relate tlaga kase laking probinsya totoo gabos nabanggit,neutral
nakaranas din kami kaan kami kang tugang q kang kami saraday kaidto tas,neutral
nagsasakay kami likod kng karabaw,neutral
lintaan nguraspak muyan garo n bga rapak,negative
amu kan nguraspak makangakngak in english lol,positive
minsan mahamot minsan mabata,neutral
ano ng nguraspak an dae nagpundo nin sapa,negative
namangkay ang nguraspak iuragan kakak,negative
uni makaogma xnagluto padi tinoktok daa pinatos talangka ning dahon ng,neutral
natong tpos ginutaan,neutral
taga bicol,neutral
poging bagsik hahaha tinipid tinamad,positive
post nato diko aram ang packa iba ng bongkukan at ng linsa salamat,positive
post nato favorite kobo tong rootcropt eaten with kinudkod nyog yummm,positive
tabaco albay tangoy ang apod kaiyan bongkukan oas or ligao,neutral
amold borito an tangoy unod kan natong iyan linsa an apod,neutral
mismo gulping short skirt pants an narapak tukawan kawayan urog kun,negative
medyo luma,neutral
soliman jenalyn sopefia iyo may shorts minsan matapo makadukot,negative
sana dikit pako nagigisi,negative
kapabayaan iyan uldot palan payo kan pako naging dahilan kan,negative
pagka punit kan pantalon ano dai ginibohan remedyo,negative
lyo masiramon iyan marie imbes so aki pig aling ang makaubos,positive
nakakaubos so pra aling,neutral
relate,neutral
masarap yan maski ibang bansa igwa kayan nahiling q isang supermarket,positive
bahrain ugmahon aq at igwa plan kako marie biscuit d2,positive
masiram talaga ang marie time lalo tg runot muna,positive
puidi pangodtuhan pamangihan kn mayong bagas ang aki,positive
toodon magkakan duma,positive
masiram baga yan pamahaw uya cavite dai akong pamahaw naarong,positive
minyan miss miss ang pg kain ganiyan,positive
siram sana lalo ngunyan mauran uran,positive
siram uli mayo lamang nanamitan dyn,positive
sesame seeds masarap binangkal at buchi,positive
taga bicol,positive
yen barredo iyo baga,neutral
sain tabi nakakabakal nin pantanom kaiyan,positive
sain igwa kayan pang tanum or binhi,neutral
masiram tbi yn,neutral
ngowan semana santa sige sanang yaba yaba,positive
minsan ngani napagkakamalan akong tambay iba,neutral
agko diri nakakabisto kanako tolos tolos,neutral
buko uban diri nagtaga uli uli baao,neutral
pirmi,neutral
kundi itsura pirming,neutral
naka shorts minsan ngani bagana nakasupong panturog aagi agi sana,neutral
gusto sana kayang mamate dati buway panahon diri pirmi nakaporma pantalon sotana,neutral
ngani minsan gusto magsimba sana kaiba ninyo siton baba nganing mabayad kun ono isadi itaas,positive
agi agi kadakul nabayad,neutral
napag isipan gibowon bilang taga kanato,neutral
pigpara obserbaran ading nakapalibot kanato,positive
agko magagayon pagbabago nagpapabayad asenso agko diri natatawan atensyon panawon kaiba baao,neutral
pirmi unga sadiri ono raw gibowon maging maray pagkabuway baao,neutral
iba gayod talagang diri mababago tawo arog realidad siya nabubuway kinaban agko kaiba,neutral
nagtutubod mas dakul kayang bagowon kun gugustowon,positive
agko ugali tanggalon diri sinda angay agko tapyason bukong magayon silngan,negative
agko bagay uda poon kadto buko uyan susog base plano,negative
nganing aldow nagtaga libot libot kami kagsadiri pasos pigpapakaray prusisyon,neutral
kalsada agko iinuman la pang riribok agko nagpapatugtog makusog bagana baga bukong semana santa ati nakatambak gilid,neutral
kayat kayat basura kanal sungsong kalye puno paninda padyak baralanggado la paka linya,negative
kadakul kanto gilid lang paparat,negative
kadakul naobserbaran nabayad isi kamo nakaobserba nakabayad,negative
lang minsan diri pigtutuyaw abo tang makakulog iba palibot mismo naggigibo kuyan,positive
minsan sige agrangay uda ginigibo,negative
paraiso,neutral
gusto ninyo iyanan,neutral
abo isi buko uyan ipinangako kanato,negative
bilang taga baao rumroma baya ninyo panahon agko tawo nakikipag usip kaninyo,neutral
matatam is promesa magagayon plano,positive
sinusuyo nganing maengganyo magsunod kanda,positive
iato suporta nganing magin representante kadaklan,positive
gayon sanang irunggon gayon sana kun iisipon paro bayda ngani ninyo ngowan kun nasunod promesa paglaom migdara maray pagkabuway baao,positive
pirang semana sana agko naman migrapo kanato nganing magsabi dato narungog abot ngowan uda dyaday kamatoran,neutral
eleksyon lang kaskas iratong,neutral
bisi naman nganga pagbisara tatawan kana kaipuwan nakanga nga uda makaon uda isasapna uda istaran maray,negative
magmaan ngamin,positive
babaydon maray karakas lambang nganing makapag desisyon tama malinaw base konsensya,positive
gustuwon sigurong makanamit maray paraiso baao,positive
lugar agko hutisya ngamin pagkaon tios maray pagkabuway nganing masusteneran ngamin kaipuwan pamilya,positive
nangyari uyan paraiso pwede tang bauyon baao,positive
kamaturan paggibo promesa uyan dahilan ngani ngamin padagos mabuway maray,positive
pagsuyo kana kandidato nganing itao banal tang boto agko uyan nakatakod obligasyon abot panahon,positive
siguro kaipuwan maggibo milagro nganing maitao pangangaipo tawo arog ginibo hesus,neutral
diri adto,negative
ayat sana mabayad realidad paggibo promesa,neutral
kun manggana kandidato rumrumon tawo makamate paraiso,neutral
paraiso agko pagpayaba pagmangno bukong masamok maamot ngamin agko kinakaon nagtitinabang tabangan agko dios,positive
paraiso gusto mabayad baao,positive
ikarwang sinabi hesus nakapako siya krus ngowan sana iiiba paraiso,positive
balikan nangyari daan tipan,neutral
istorya paggibo ngamin ama nagsabi ngamin ginibo maray,positive
boot sabiyon perpekto sosog plano isi ngamin agko maitataong maray tawo,positive
uyan ngamin ginibo ama nganing kitang tawo uda kaipuwan anapon kaipuwan buhay,positive
ginibo adan eba ariglado ngamin,positive
uda problema uda pagsakit uda maski kagranan tawo,positive
kapwerte masiram buway,positive
uyan plano ama kanato ngamin,positive
ngamin uyan nauda kawasa adan eba mas pinili ninda pansadiri nindang kagustuwan,negative
diri nakuntento diri nagsunod plano,negative
sinda nasala pagdisisyon,negative
naudit ama sinda pinalayas paraiso,negative
nagpoon kasalan,negative
nakamate sinda kadipisilan alop nagtios buko magayonm agko problema agko kagranan tawo,negative
sayang kadtong paraiso,positive
gusto makamate makabalik paraiso,positive
preskong angin malinig kalye bukong matakot raran,positive
tuninong pagkagab i uda kariribukan agko maray pagkaon maray buway,positive
mayna ngowan tolos,positive
sabi hesus katakin parataban gustong makaiba paraiso hesus,neutral
parakasala gustong magbakle buway nuya lang ultimo adtong pagkakataon sinamantala makiusip hesus,neutral
gibo pagsolsol nagdara kanya paraiso,positive
sabi ngani bibliya pinadara buko banal kundi parakasala,neutral
kaipuwan sana nagkasala gusto makabalik grasya hesus,neutral
ginibo uyan parataban,neutral
kaipuwan booton base malinaw iisip magdesisyon gusto siya makaiba magin maray kanatong kamugtakan,positive
ngowan eleksyon yan kaipuwan,neutral
malinaw kanatong isip pagpili kana gusto tang magdara kanato paraiso tawo pwede pagsakripisyo nganing mabayad paraiso,positive
desisyon base kagustuwan mapakaray buway inaalalayan kanatong konsensya,positive
buko binayaran buko agko utang boot buko irensya kundi kagustuwan tang magin maray kanatong banwaan,positive
ono saysay kun tinawan kitang gatikat sintabo kaipuwan tang gayo kun pinainom tinawan sigarilyo kun aldow mig abot baka diri ngani mabayad mata igin,neutral
dimas too hesus nagkasala ayat tawad puno paglaom,neutral
gusto makaiba hesus paraiso,positive
kadakul ribok palibot hesus siya nakapako boses sana narungog kagurangnan rumroma abot paraiso,neutral
hesus nagsabi ngowan tulos makakaiba kanako,neutral
banwaan baao ipangadyi bitnga kading maribok palibot marungog sadit tang boses nagsasabi,positive
rumrumon kami pwesto kamo,neutral
tibaad marungog,neutral
tibaad mabayad realidad,neutral
tibaad mangyari promesang paraiso kanato,positive
isip isip ninyo kun isay tatawan boto anapon ninyo adtong nagtuga kanato ngamin,neutral
kamo nagsabi diri baao pababayaan,negative
nagsabing magsakripisyo karayan kadaklan,negative
katuninongan hustisya pagkaon aalop,negative
kun uda bagana sinda disipulos hesus nagtibwasan sya rakupon,negative
maray nganing dimas kaiba hesus,positive
paraiso regalo hesus dimas,positive
tibaad maregalowan paraiso abot panahon,positive
ginhawa buway kanatong mamamate kun uyan mangyari,positive
arog pagmate dimas siya sinabiwan hesus,neutral
ading ikarwang sinabi hesus nakapako siya krus parumrom kanato ngamin,neutral
diri pagsayangon kakayan tang magpili tama,positive
kaipuwan sana kusog boot linaw isip nganing maipabayad uyan,positive
diri pagsayangon oportunidad itinao kanato ngamin,positive
nagtututuod nan maray buway kun migtinabang tabangan,positive
baao paraiso pwede tang bauyon kun rumrumon sana ninda kun sinda paraiso,positive
an orihinal kahulugan kan tataramon kirag mabalik sato sarong esensyal peministang katotoohan babaying ayam sana an nagkikirag an lalaking ayam dai alagad an lalaking ayam an naghahanap babayi,neutral
makangalasngalas an siring impormasyon urog satong tawo huli sabat satuyang natura kun siisay an nagkikirag iyo an naghahanap,neutral
an babaying ayam nagkikirag in heat buot sabihon preparado ining magpasagbat tanganing magbados dangan ugbon nin bagong ayam magpadanay kan pagka ayam,neutral
panahon nin pagkirag igwang signos puwedeng mahiling,neutral
minagatok kadikit an saindang ikinabuhay minsan dinidugo malambing sinda kapwa ayam alagad puwedeng magin maringis anuman panahon,neutral
makangangalas an natura kan lalaking ayam minasimbag pagkirag kan babaying ayam huli mina iba an hiro kaini presensya kan babaying ayam dai napapatunong garo nabubua pagmawot masagbatan an nagkikirag babaying ayam,neutral
igwang panahon dai makakan kan anuman ibinahog sainda,negative
an lalaking ayam may katugdan maghanap maglakbay kun kaipuhan tanganing hanapon an saiyang sasagbatan,neutral
tanganing mauntok an naturang kaipuhan kan tawo kag ataman kan lalaking ayam baguhon an dalagan kan natura lalaking ayam kun tinitibusan,neutral
an gabos iyan reaksyon kimiko kan lalaki inaagihan kan babayi parong kan babayi,neutral
an gabos minatapos liwat pagpuon nin buhay bagong tito iuugbon pagkalihis nin lampas kadikit duwang bulan,neutral
ipinipintakasi an pagigin kiragon ngunyan,positive
gusto hilingon pagpipintakasi lalaki babayi,positive
garo sarong akto nin pagpapasalamat sainda halimbawa nin makangangalas pagsimbag naturang,positive
paaging nakakanuod labi kapakumbabang halimbawa kan hayop huli kitang tawo panu pano nin ablada huli satong pagkasabot asin kakayahan dahilan,positive
igwa nin huna huna an paggamit kan tataramon kiragon kirag pinalipot kontemporanyong kirs nagpuon ngimot kan teenage girls urog kan kolehiyala,neutral
ateneo high school all boys panahon an hoben lalaki eeksperiyensiya nin hormonal shoot up,neutral
kun gagamiton an tataramon puwede gamiton an panahon kiragon an lalaki,negative
alagad tibaad huli pambabaying natura kan kirag linikayan ining gamiton kan lalaki,neutral
an kirag pang ayam nagin gitil landi giprad asin iba pang tataramon igwang natura nin agi aging sekswal pakikipagkonektar ibang tawo,neutral
alagad daing makakabaing kagianan inaagihan ngunyan paggamit kan tataramon kirag kiragon huli pagbabagun lawog kan tataramon dara kan satong aktibidad ngunyan,negative
kun kaidto ikinakasupog ining sambiton asin ipinapangalad ining gamiton tawo dara kan satong pagtubod ngunyan lugod ikinukurahaw,negative
panong abalorio,neutral
dian tomogpa,neutral
tongod convent,neutral
dai padakop,positive
kan magna muchacho,neutral
tyo padapkon,negative
padre severino,neutral
layog daw pano,neutral
panong binordahan,neutral
tongod nin simbahan,positive
kan sacristan,neutral
padre juan,neutral
baga ikos,positive
tukaw gilid,positive
saraw,neutral
pokpok sigid,negative
talon sirong,neutral
dungab orig,negative
panik kalap,negative
tikrag tubig,negative
baga ayam,positive
baga ayam,positive
kilkil tulang,negative
ano,neutral
taga sundang,negative
baga insik,positive
kakan lugaw,positive
tausi,positive
atot golpe,negative
saro dua tolo,neutral
saro dua tolo,neutral
uyana,positive
apat lima anom,neutral
pirmeng giromdom,positive
pito walo siam,neutral
uya daghan,positive
sampolo kagsaro,neutral
uya puso,positive
halangkaw daga,positive
halangkaw daga,positive
hababang lagnit,negative
aldaw malipot,neutral
bulan mainmit,neutral
naglayog,positive
gamgam nagrorip,positive
malomoy gapo,neutral
ngonian panahon,neutral
suwi an langit,neutral
kun nagooran,neutral
iyong nagsalihid,neutral
an labing liwanag,positive
banaag nin langit,positive
an lalaki,positive
labi pusoan,positive
minsan an talapang,neutral
dai natatakotan,positive
iguang magkiniskinis,neutral
gilid nin dalan,neutral
minalokso,neutral
golpe an dalagan,negative
kawayan tobo,neutral
dating namamari,positive
kamoteng loto,positive
aki,positive
makisomaro,positive
kumakan nin bahaw,neutral
dai napapaso,positive
awit nin parasapna,positive
may guitarra akong langka,positive
dara pagsapana,neutral
kun aboton akong tongka,negative
togtogon pungapunga,negative
may guitarra akong ogog,positive
dara paglabog,positive
kun aboton akong linog,negative
togtogon kilogkilog,negative
kan lunes pagkaaga,neutral
naggayak akong maglaya,neutral
banwit pokot sakong dara,neutral
maninirang talaga,neutral
pagrani baybay,neutral
pokot samong ilinaylay,neutral
dangan an kariribokan,negative
kan sirang kabalakidan,positive
kalasakas tambolero,neutral
tabadios guitarrero,neutral
tyong principal gayo,positive
an tabangongo,neutral
an barika,neutral
tyong ginibong lavandera,negative
tasinda kun nagkukula,neutral
lulutaban nin otava,negative
an balaw,neutral
maraot an kangalean,negative
tasinda kun pagkakakan,neutral
maansap baga sepal,negative
an kalayo an infierno,neutral
an koron an purgatorio,neutral
tulak iyo an limbo,negative
an orig iyo an portero,negative
nagdudusa an puso,negative
lilingya nin herak,neutral
dai nagpepensar,neutral
pabayaan,negative
kinaban,positive
ay ay ay ay pobreng buhay,negative
haen ngonian,neutral
sakong kadamaydamay,neutral
daing iba sana,positive
an maranga kan puso,neutral
nagdudusa,negative
himatea baya ay neneng,neutral
kan saimong mata hilinga,neutral
ining nagtitios tios sanang tios,negative
dae nin ontok kun anong dahilan,negative
por dios baya neneng masde,neutral
kan saimong boot pensara,neutral
an siring sako daeng,neutral
nanunundan kundi pagkamoot,positive
pensarang marhay simong pagtorog,neutral
kun anong madatngan tawong namomoot,neutral
odok boot puso gikan,neutral
minsan gayod ipagadan,negative
bilog pang hawak ipacuartezar,negative
sin poder remediar ay neneng,neutral
mawot,positive
ranga pusong nagtitios,neutral
burak sangkap nin hamot,positive
uya an buhay simo dolot,positive
lilingya nin pagkaherak,neutral
pusong namomoot,positive
bitoon kang masoriaw,positive
diklom nin kabanggihan,neutral
magdalita kang tingrawan,neutral
puso nadidikloman,negative
kun dai kang pagkaherak,negative
puso simo bihag,positive
ay mapapatimasang,positive
maherak,neutral
neneng maherak,neutral
lilingyawon,negative
puso ginapos,neutral
kan kagayonan,positive
dimo pinahiro,negative
piniot gayo,negative
ano daw baga,neutral
sukat gibohon,neutral
an kagayonan,positive
bareta sana,neutral
puso nabihag,positive
dai nakita,neutral
ay orog ngonian,neutral
kan mahiling,neutral
puso nabihag,positive
danay pagdusa,negative
hinanakit,negative
kun naaaraman,neutral
pasinggon,neutral
manga pagkamoot,positive
pagboyoboyohon,neutral
nagpagibo,neutral
kotkot hararom,neutral
magadan mabuhay,neutral
palolobong,negative
dai ilobong,positive
sagrado ng daga,neutral
dian lobongan,neutral
tongod nin ventana,neutral
dimo tambonan,neutral
nin kadikit daga,neutral
tyo itambon,neutral
an saimong luha,negative
ranga nin puso,positive
ranga nin pusong nagtitios,positive
uya puso simo dolot,positive
lilingya nin pagkaherak,positive
luha mata nagdalahay,negative
huling an dahelan,neutral
pusong tagob nin kahaditan,negative
tawi nin pagkaherak,negative
nama kun magadan,negative
bitoon kang maliwanag,positive
diklom nin kabanggian,neutral
puso nadidikloman,negative
magdalita kang lilingyon,neutral
dai nin pagkaherak,negative
pabayaan,neutral
mapungaw palan,positive
mapungaw palan buhay,positive
an may pigiisip,neutral
tunay puso,positive
dai nahahale,neutral
orog kun,neutral
tagob nin paghadit,positive
an manga recuerdos,positive
saiisip nabalik,neutral
kun naroromdoman,positive
pagsonodsonod,neutral
kan marhay,neutral
punal matarom,negative
puso daghan,neutral
dai nahahale,negative
pagkatiunay,neutral
isipon sana,neutral
namomotan,positive
nganing minsan saen,neutral
dai malingaw,positive
simong pagtorog,positive
simong pagmata,positive
gabos recuerdos,neutral
simo giromdoma,positive
gabos horas,neutral
antes kang matorog,neutral
sarong inagrangay,neutral
idolot dios,positive
dangan isipon,neutral
rogaring boot,positive
kun gurugurano daw,neutral
may pagkamoot,positive
nagkakarigos an diyan maation tubig ay naghuhuba pinagkaakawatan sadiri siring kaiyan,negative
minsan ngani garu ubak nin niyog maski ano an magibo basta palaen laen an itsura kan luuk,negative
